,adm_0_name,adm_0_code,adm_1_name,adm_1_code,adm_2_name,adm_2_code,calendar_start_date,calendar_end_date,case_total
1,Argentina,12,Corrientes,435,NA,NA,01/01/1998,31/01/1998,0
2,Argentina,12,NA,NA,NA,NA,01/01/1998,31/12/1998,822
3,Argentina,12,Corrientes,435,NA,NA,01/02/1998,28/02/1998,0
4,Argentina,12,Corrientes,435,NA,NA,01/03/1998,31/03/1998,0
5,Argentina,12,Corrientes,435,NA,NA,01/11/1998,30/11/1998,0
6,Argentina,12,Corrientes,435,NA,NA,01/12/1998,31/12/1998,0
7,Argentina,12,Corrientes,435,NA,NA,01/01/1999,31/01/1999,0
8,Argentina,12,NA,NA,NA,NA,01/01/1999,31/12/1999,1700
9,Argentina,12,Corrientes,435,NA,NA,01/02/1999,28/02/1999,0
10,Argentina,12,Corrientes,435,NA,NA,01/03/1999,31/03/1999,0
11,Argentina,12,Corrientes,435,NA,NA,01/04/1999,30/04/1999,0
12,Argentina,12,Corrientes,435,NA,NA,01/05/1999,31/05/1999,0
13,Argentina,12,Formosa,437,NA,NA,01/06/1999,30/06/1999,0
14,Argentina,12,Formosa,437,NA,NA,01/07/1999,31/07/1999,0
15,Argentina,12,Formosa,437,NA,NA,01/08/1999,31/08/1999,0
16,Argentina,12,Formosa,437,NA,NA,01/09/1999,30/09/1999,0
17,Argentina,12,Formosa,437,NA,NA,01/10/1999,31/10/1999,0
18,Argentina,12,Formosa,437,NA,NA,01/11/1999,30/11/1999,0
19,Argentina,12,Formosa,437,NA,NA,01/12/1999,31/12/1999,0
20,Argentina,12,NA,NA,NA,NA,01/01/2000,31/12/2000,1700
21,Argentina,12,NA,NA,NA,NA,01/01/2001,31/12/2001,11
22,Argentina,12,NA,NA,NA,NA,01/01/2002,31/12/2002,234
23,Argentina,12,NA,NA,NA,NA,01/01/2003,31/12/2003,135
24,Argentina,12,Formosa,437,NA,NA,01/01/2004,31/01/2004,0
25,Argentina,12,NA,NA,NA,NA,01/01/2004,31/12/2004,3284
26,Argentina,12,Formosa,437,NA,NA,01/02/2004,29/02/2004,0
27,Argentina,12,Formosa,437,NA,NA,01/03/2004,31/03/2004,0
28,Argentina,12,Formosa,437,NA,NA,01/04/2004,30/04/2004,0
29,Argentina,12,Corrientes,435,NA,NA,01/05/2004,31/05/2004,1
30,Argentina,12,Corrientes,435,NA,NA,01/06/2004,30/06/2004,10
31,Argentina,12,Corrientes,435,NA,NA,01/07/2004,31/07/2004,40
32,Argentina,12,Corrientes,435,NA,NA,01/08/2004,31/08/2004,100
33,Argentina,12,Corrientes,435,NA,NA,01/09/2004,30/09/2004,160
34,Argentina,12,Corrientes,435,NA,NA,01/10/2004,31/10/2004,50
35,Argentina,12,NA,NA,NA,NA,01/01/2005,31/12/2005,249
36,Argentina,12,NA,NA,NA,NA,01/01/2006,31/12/2006,181
37,Argentina,12,NA,NA,NA,NA,01/01/2007,31/12/2007,173
38,Argentina,12,NA,NA,NA,NA,01/01/2008,31/12/2008,40
39,Argentina,12,NA,NA,NA,NA,01/01/2009,31/12/2009,26612
40,Argentina,12,NA,NA,NA,NA,01/01/2010,31/12/2010,1185
41,Argentina,12,NA,NA,NA,NA,01/01/2011,31/12/2011,213
42,Argentina,12,NA,NA,NA,NA,01/01/2012,31/12/2012,2803
43,Argentina,12,NA,NA,NA,NA,02/01/2022,08/01/2022,0
44,Argentina,12,NA,NA,NA,NA,02/01/2022,12/03/2022,26
